complaint_text,category,subcategory,department
Local authorities have issues verifying my identity as my documents are in my native language. I work at Desert Oil Exploration in the pharmaceutical industry. I have been working as a team leader for 2.5 years. This is happening in our Guwahati branch/office/factory. Our cultural and dietary needs are ignored creating difficulties.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
I was fired without any notice or explanation after working for 5 years. I work at Oceanic Marine Products in the oil and gas industry. I am working while pursuing higher education. There is no grievance redressal system available to workers.,Labor Rights Violations,Apprentice exploitation,Board of Apprenticeship Training
The job advertisement explicitly mentioned they prefer candidates from certain communities. I work at Delta Logistics in the agriculture industry. I have been working as a warehouse manager for 15 years. This is happening in our Shimla branch/office/factory. I recently relocated to this city for this job. Derogatory comments about my identity are common in the workplace.,Discrimination,Gender discrimination,National Commission for Women
I've been waiting for my maternity benefit payment for 45 days. I work at Arctic Cold Storage in the manufacturing industry. I have been working as a business analyst for 8 years. This is happening in our Shillong branch/office/factory. I am supporting my elderly parents with my income. The delay in benefits has affected my post-retirement planning.,Social Security Concerns,Unemployment allowance issues,Ministry of Labour and Employment - Social Security Division
Employees from certain castes are given preferential treatment in our organization. There's a significant pay gap between different groups doing identical work.,Discrimination,Religious discrimination,National Commission for Minorities
The noise levels in our factory exceed safe limits and no ear protection is provided. I have been working as a plumber for 2 years. I am working while pursuing higher education. Required safety certifications are outdated or falsified.,Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
Machine guards are removed to speed up production causing accidents. I work at Prairie Food Processing in the pharmaceutical industry. I have been working as a receptionist for 2.5 years.,Unsafe Working Conditions,Noise pollution,State Pollution Control Board
My children cannot get admission to local schools due to documentation issues. I have been working as a accountant for 9 years. This is happening in our Varanasi branch/office/factory. I have medical conditions that require regular treatment.,Migrant Worker Issues,Cultural insensitivity,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My religious practices are mocked openly in the workplace. I work at Mountain Mining in the retail industry. I am a contractual worker hoping for permanent employment. HR department is aware but has taken no action despite evidence.,Workplace Harassment,Forced personal favors,National Commission for Women
My contractor brought me here but now refuses to take responsibility for my employment. I work at Greenfield Agro in the pharmaceutical industry.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
The management encourages a toxic environment where employees are pitted against each other. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Public humiliation,Ministry of Labour and Employment - Industrial Relations Division
I'm constantly interrupted and talked over in meetings by male colleagues. I work at Sunrise Industries in the logistics industry. I have been working as a supervisor for 6 years. This is happening in our Vadodara branch/office/factory. HR department is aware but has taken no action despite evidence.,Workplace Harassment,Stalking,Local Police Station
There is no access to clean drinking water in our factory premises. I work at Savannah Agriculture in the pharmaceutical industry. This is happening in our Kochi branch/office/factory. I developed health issues directly related to workplace conditions.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at XYZ Technologies in the hospitality industry. I have been working as a project coordinator for 6 years.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
"During summer, the temperature exceeds 45°C with no cooling systems. I work at Canyon Minerals in the IT industry. This is happening in our Visakhapatnam branch/office/factory. I belong to a scheduled caste community. Workers who report safety issues face retaliation.",Unsafe Working Conditions,Building structural issues,Municipal Corporation Building Department
I was told I'm too old for the position despite having all qualifications. I work at Forest Wood Products in the entertainment industry. I have been working as a regional sales manager for 1.5 years. I have specialized skills in my field but face exploitation. The discrimination is subtle but persistent in daily interactions.,Discrimination,Gender discrimination,National Commission for Women
Employees from certain castes are given preferential treatment in our organization. I have been working as a receptionist for 15 years. This is happening in our Bangalore branch/office/factory.,Discrimination,Regional bias,National Commission for Backward Classes
The company doesn't allow employees to use their phones during shifts. This is happening in our Gwalior branch/office/factory.,Labor Rights Violations,Termination without notice,Ministry of Labour and Employment - Industrial Relations Division
My supervisor constantly shouts and uses abusive language towards me. I work at ABC Manufacturing in the oil and gas industry.,Workplace Harassment,Exclusion from meetings,Ministry of Labour and Employment - Industrial Relations Division
I can't send money home as I don't have proper banking facilities here.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Inter-State Migrant Workers Division
The company has not revised my salary for 10 years despite annual evaluations. I have been working as a network administrator for 2.5 years.,Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
I'm constantly interrupted and talked over in meetings by male colleagues. I work at Datatech Services in the manufacturing industry. I have been working as a HR coordinator for 9 years. I am the sole breadwinner in my family.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
The company has not paid the annual bonus as required by law. I work at Tropical Beverages in the retail industry. I have been working as a security guard for 5 years. This is happening in our Vadodara branch/office/factory. I previously worked abroad but returned to India for family reasons.,Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
Machine guards are removed to speed up production causing accidents. Required safety certifications are outdated or falsified.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
I was put on unpaid leave without my consent during system maintenance. I work at Arctic Cold Storage in the automotive industry. This is happening in our Guwahati branch/office/factory.,Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
The company doesn't allow employees to use their phones during shifts. I work at IronStrength Steel in the logistics industry. Job descriptions are intentionally vague to assign unlimited responsibilities.,Labor Rights Violations,Collective bargaining issues,Ministry of Labour and Employment - Industrial Relations Division
My contract states a higher wage than what I'm receiving monthly. I am a person with physical disability.,Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
Local authorities have issues verifying my identity as my documents are in my native language. I work at RedBrick Consultancy in the telecommunications industry. This is happening in our Ludhiana branch/office/factory.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
My medical reimbursement has been pending for the probation period despite submitting all documents. I work at Eastern Electronics in the education industry. I've submitted all required documentation multiple times.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
I have not received my salary for the probation period. My employer keeps delaying payments. I work at Pride Construction in the mining industry. The company changed payroll policies without proper notice.,Wage Issues,Unauthorized deductions,Ministry of Labour and Employment - Wage Division
My religious practices are mocked openly in the workplace. This is happening in our Visakhapatnam branch/office/factory. I am the sole breadwinner in my family.,Workplace Harassment,Character defamation,Employees State Insurance Corporation
I cannot access my UAN account despite multiple attempts. I have been working as a graphic designer for 4 years. This is happening in our Thiruvananthapuram branch/office/factory.,Social Security Concerns,NPS contribution problems,Pension Fund Regulatory and Development Authority
"I haven't been able to bring my family due to lack of family accommodation provisions. I have been working as a delivery personnel for 1.5 years. This is happening in our Nagpur branch/office/factory. During emergencies, we lack access to local support systems.",Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
"After informing about my pregnancy, I was removed from important projects. The discrimination is subtle but persistent in daily interactions.",Discrimination,LGBTQ+ discrimination,National Human Rights Commission
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. I have been working as a regional sales manager for 4 years. I recently relocated to this city for this job.",Discrimination,Pregnancy discrimination,National Commission for Women
Local colleagues mock our cultural practices and food habits. I work at Sunrise Industries in the logistics industry. This is happening in our Patna branch/office/factory. I am a senior citizen close to retirement.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
I was transferred to a remote location after filing a complaint. I have been working as a content writer for 6 years. This is happening in our Surat branch/office/factory. I am a person with physical disability.,Labor Rights Violations,Forced overtime,Ministry of Labour and Employment - Industrial Relations Division
I'm forced to attend company events that conflict with my personal beliefs. I work at GoldenGate Software in the automotive industry. I have been working as a production manager for 7 years. This is happening in our Indore branch/office/factory. Company culture normalizes and even rewards such behavior.,Workplace Harassment,Stalking,Local Police Station
I have not received my salary for 5 months. My employer keeps delaying payments. I work at GoldenGate Software in the shipping industry. I have been working as a business analyst for 25 years.,Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
"After informing about my pregnancy, I was removed from important projects. I work at Sunrise Industries in the pharmaceutical industry. I have been working as a receptionist for 2 years.",Discrimination,Gender discrimination,National Commission for Women
I'm being paid in cash without any salary slip or documentation. I have been working as a production manager for 4.5 years. This is happening in our Patna branch/office/factory. I am a person with physical disability. The issue has affected my ability to pay rent and bills.,Wage Issues,Overtime payment issues,Ministry of Labour and Employment - Wage Division
Children below 14 years are employed in our manufacturing unit. I work at Prairie Food Processing in the construction industry. I have been working as a team leader for 2.5 years. This is happening in our Nagpur branch/office/factory. The company exploits legal loopholes to deny statutory benefits.,Labor Rights Violations,Termination without notice,Ministry of Labour and Employment - Industrial Relations Division
My home state work experience is not recognized for promotion considerations. I work at ABC Manufacturing in the oil and gas industry. I have been working as a team leader for 8 years. This is happening in our Tiruchirappalli branch/office/factory.,Migrant Worker Issues,Return transportation denial,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I'm forced to work overtime without my consent or extra payment. I work at Mountain Mining in the shipping industry. I am a migrant worker from a different state.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
"My employer imposed a fine of 2,500 rupees for wearing informal shoes which seems excessive and illegal. This is happening in our Ranchi branch/office/factory.",Wage Issues,Minimum Wages Act violations,Ministry of Labour and Employment - Industrial Relations Division
I was fired without any notice or explanation after working for 4.5 years. I work at Thunder Power Generation in the textile industry.,Labor Rights Violations,Collective bargaining issues,Ministry of Labour and Employment - Industrial Relations Division
I face discrimination because I support a different political party than management. I work at Delta Logistics in the healthcare industry. This is happening in our Tiruchirappalli branch/office/factory.,Discrimination,Political affiliation bias,Ministry of Labour and Employment - Industrial Relations Division
I was fired without any notice or explanation after working for 20 years. I have been working as a carpenter for 4.5 years. I am a fresh graduate in my first job. We are made to sign blank documents that are later misused.,Labor Rights Violations,Contract labor issues,Ministry of Labour and Employment - Industrial Relations Division
I was made to sign blank papers/resignation letters when joining. I have been working as a procurement officer for 9 years. We are made to sign blank documents that are later misused.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
My employer has confiscated my passport and educational certificates. I work at Skyrise Builders in the textile industry. This is happening in our Chennai branch/office/factory. I belong to a scheduled caste community.,Labor Rights Violations,Apprentice exploitation,Board of Apprenticeship Training
We are forced to work in unnatural positions causing severe back problems. I work at CopperTech Engineering in the real estate industry. This is happening in our Patna branch/office/factory.,Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
Machine guards are removed to speed up production causing accidents. I work at Lightning Fast Couriers in the banking industry. This is happening in our Delhi branch/office/factory.,Unsafe Working Conditions,Lack of safety equipment,Directorate General of Factory Advice Service and Labour Institutes
We are forced to work in unnatural positions causing severe back problems. I work at Alpine Adventures in the construction industry. I have been working as a driver for 20 years. This is happening in our Varanasi branch/office/factory. I have been working in this industry for over a decade.,Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
The paternity leave application was rejected without valid reasons. I work at Alpine Adventures in the banking industry. I have been working as a plumber for 4.5 years.,Social Security Concerns,PF withdrawal issues,Employees Provident Fund Organisation
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. Promotions consistently go to employees from certain backgrounds only.",Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
I was denied promotion because of my gender despite having better performance records. This is happening in our Varanasi branch/office/factory.,Discrimination,Language discrimination,Ministry of Labour and Employment - Industrial Relations Division
The company has not paid the annual bonus as required by law. I work at Global Solutions in the education industry. This is happening in our Gwalior branch/office/factory. The management recently gave themselves bonuses while delaying our payments.,Wage Issues,Unpaid leave deductions,Ministry of Labour and Employment - Wage Division
I face discrimination because I support a different political party than management. I work at Alpine Adventures in the textile industry. This is happening in our Nashik branch/office/factory.,Discrimination,Promotion bias,Ministry of Labour and Employment - Industrial Relations Division
Employees from certain castes are given preferential treatment in our organization. I have been working as a administrative assistant for 7 years.,Discrimination,Regional bias,National Commission for Backward Classes
My manager constantly criticizes me in front of others affecting my mental health. I have been working as a graphic designer for 5 years. I am a migrant worker from a different state.,Workplace Harassment,Character defamation,Local Police Station
The company monitors personal communications and break time activities excessively. I work at Breeze Airlines in the insurance industry. I have been working as a nurse for 3 years. This is happening in our Tiruchirappalli branch/office/factory. I am a migrant worker from a different state. There have been previous complaints against the same individual/group.,Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
I haven't been able to bring my family due to lack of family accommodation provisions. I work at Forest Wood Products in the healthcare industry. This is happening in our Bhopal branch/office/factory. I switched careers recently and face discrimination due to it.,Migrant Worker Issues,Remittance challenges,Ministry of Finance
I was criticized for not matching the company's 'look policy' despite my competence. I work at Rainbow Plastics in the real estate industry. I have been working as a welder for 2 years. I have witnessed similar treatment of others from my community.,Discrimination,Caste-based discrimination,National Commission for Scheduled Castes/Tribes
My sick leave application was rejected despite having medical certificate. I work at RedBrick Consultancy in the retail industry. I have been working as a machine operator for 4 years. This is happening in our Mumbai branch/office/factory. We are made to sign blank documents that are later misused.,Labor Rights Violations,Forced overtime,Ministry of Labour and Employment - Industrial Relations Division
The company has not paid the annual bonus as required by law. I work at Oceanic Marine Products in the oil and gas industry. I have been working as a finance analyst for 10 years. The company changed payroll policies without proper notice.,Wage Issues,ESI contribution problems,Employees State Insurance Corporation
Co-workers have created offensive social media groups targeting me. I work at Greenfield Agro in the agriculture industry. I have been working as a nurse for 1 years. This is happening in our Hyderabad branch/office/factory. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Hostile work environment,Ministry of Labour and Employment - Industrial Relations Division
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at Metro Textiles in the agriculture industry. I have been working as a quality control inspector for 4.5 years.,Migrant Worker Issues,Displacement allowance issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My contract states a higher wage than what I'm receiving monthly. This is happening in our Ranchi branch/office/factory. I recently relocated to this city for this job.,Wage Issues,Incorrect salary calculation,Ministry of Labour and Employment - Wage Division
I was asked inappropriate questions about my family planning during the interview. I work at Tropical Beverages in the agriculture industry. I have been working as a electrician for 10 years. This is happening in our Chennai branch/office/factory. Important opportunities are only shared with select groups.,Discrimination,Promotion bias,Ministry of Labour and Employment - Industrial Relations Division
Heavy objects are moved manually without mechanical aids causing injuries. I work at Alpine Adventures in the hospitality industry.,Unsafe Working Conditions,Inadequate fire safety,State Fire Department and Labour Department
Heavy objects are moved manually without mechanical aids causing injuries. I have been working as a nurse for 3 years. This is happening in our Mangalore branch/office/factory.,Unsafe Working Conditions,Unhygienic facilities,Municipal Corporation Health Department
I'm constantly interrupted and talked over in meetings by male colleagues. I have been working as a administrative assistant for 12 years. I have been working in this industry for over a decade. I've had to take medical leave due to stress from the harassment.,Workplace Harassment,Threatening behavior,Local Police Station and Ministry of Labour
Managers check our bags and personal belongings without consent everyday. I have been working as a project coordinator for 25 years. I am a person with physical disability.,Workplace Harassment,Hostile work environment,Ministry of Labour and Employment - Industrial Relations Division
The noise levels in our factory exceed safe limits and no ear protection is provided. I work at GoldenGate Software in the construction industry. I have been working as a forklift operator for 9 years. This is happening in our Chennai branch/office/factory. I belong to a scheduled caste community. Workers who report safety issues face retaliation.,Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
I was terminated for raising safety concerns about factory conditions. I work at CloudNine IT Solutions in the aviation industry. This is happening in our Madurai branch/office/factory.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
My medical reimbursement has been pending for 3 months despite submitting all documents. I work at Global Solutions in the agriculture industry. This is happening in our Mumbai branch/office/factory. I've submitted all required documentation multiple times.,Social Security Concerns,Insurance claim rejection,Insurance Regulatory and Development Authority
"After a workplace accident, my compensation claim has been pending for months. This is happening in our Dharwad branch/office/factory.",Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
My sick leave application was rejected despite having medical certificate. I work at Westland Automobiles in the IT industry. I have been working as a branch manager for 10 years. This is happening in our Chennai branch/office/factory. I previously worked abroad but returned to India for family reasons. Documentation of work hours is manipulated to avoid overtime payment.,Labor Rights Violations,Denial of leave,Ministry of Labour and Employment - Industrial Relations Division
Machine guards are removed to speed up production causing accidents.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
"I was denied maternity leave and benefits after pregnancy announcement. I work at Forest Wood Products in the shipping industry. This is happening in our Tiruchirappalli branch/office/factory. I am a single parent supporting two children. Legal compliance exists only on paper, not in practice.",Labor Rights Violations,Contract labor issues,Ministry of Labour and Employment - Industrial Relations Division
Employees from certain castes are given preferential treatment in our organization. I work at Savannah Agriculture in the retail industry.,Discrimination,Pregnancy discrimination,National Commission for Women
The office building has visible cracks and leakages creating unsafe conditions. I work at Westland Automobiles in the automotive industry. This is happening in our Jammu branch/office/factory.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
"Following my husband's death at work, the death benefit claim is still unprocessed. I work at Desert Oil Exploration in the construction industry.",Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
The company doesn't grant national and festival holidays as per law. I have been working as a supervisor for 25 years. This is happening in our Guwahati branch/office/factory.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
Local authorities have issues verifying my identity as my documents are in my native language. I work at Canyon Minerals in the insurance industry. I have been working as a electrician for 4 years. This is happening in our Lucknow branch/office/factory. I have education loans to repay which makes this situation critical.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
No translator is provided during important safety briefings. I work at Breeze Airlines in the hospitality industry. I have been working as a graphic designer for 8 years. I am a fresh graduate in my first job. We pay excessive rates for basic accommodations provided by the employer.,Migrant Worker Issues,Local authority harassment,Ministry of Home Affairs
"After retirement, I'm facing issues accessing my provident fund benefits. I work at Greenfield Agro in the retail industry. I have been working as a factory worker for 1 years. I am a migrant worker from a different state. My employer refuses to provide necessary certification for claims.",Social Security Concerns,Medical reimbursement delays,Employees State Insurance Corporation
